,State,County,City,web,state,city,CityID
30, Wisconsin , Milwaukee , Milwaukee ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=811635,Wisconsin,Milwaukee,30.0
31, New Mexico , Bernalillo , Albuquerque ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=783222,New Mexico,Albuquerque,31.0
32, Arizona , Pima , Tucson ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808825,Arizona,Tucson,32.0
33,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=816569,California,Fresno,33.0
34,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=817445,California,Sacramento,34.0
35, Missouri , Jackson , Kansas City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799754,Missouri,Kansas City,35.0
36, California , Los Angeles , Long Beach ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800523,California,Long Beach,36.0
37,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824893,Arizona,Mesa,37.0
38,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800269,Georgia,Atlanta,38.0
39, Colorado , El Paso , Colorado Springs ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799022,Colorado,Colorado Springs,39.0
40, Virginia , Virginia Beach , Virginia Beach ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=772586,Virginia,Virginia Beach,40.0
41, North Carolina , Wake , Raleigh ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809170,North Carolina,Raleigh,41.0
42, Nebraska , Douglas , Omaha ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823773,Nebraska,Omaha,42.0
43, Florida , Miami-Dade , Miami ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791798,Florida,Miami,43.0
44, California , Alameda , Oakland ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800499,California,Oakland,44.0
45, Minnesota , Hennepin , Minneapolis ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784569,Minnesota,Minneapolis,45.0
46,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=807076,Oklahoma,Tulsa,46.0
47, Kansas , Sedgwick , Wichita ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802078,Kansas,Wichita,47.0
48, Louisiana , Orleans , New Orleans ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=797639,Louisiana,New Orleans,48.0
49, Texas , Tarrant , Arlington ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806985,Texas,Arlington,49.0
50, Ohio , Cuyahoga , Cleveland ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789497,Ohio,Cleveland,50.0
51,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819257,California,Bakersfield,51.0
52, Florida , Hillsborough , Tampa ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800183,Florida,Tampa,52.0
53, Colorado , Adams , Aurora ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=236376,Colorado,Aurora,53.0
54,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=817731,Hawaii,Honolulu,54.0
55, California , Orange , Anaheim ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=804622,California,Anaheim,55.0
56, California , Orange , Santa Ana ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824140,California,Santa Ana,56.0
57, Texas , Nueces , Corpus Christi ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=779048,Texas,Corpus Christi,57.0
58, California , Riverside , Riverside ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=771370,California,Riverside,58.0
59, Missouri , St. Louis City , St. Louis ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=777791,Missouri,Saint Louis,59.0
60, Kentucky , Fayette , Lexington-Fayette urban ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810507,Kentucky,Lexington,60.0
61,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=822559,California,Stockton,61.0
62, Pennsylvania , Allegheny , Pittsburgh ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=782546,Pennsylvania,Pittsburgh,62.0
63, Minnesota , Ramsey , Saint Paul ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790596,Minnesota,Saint Paul,63.0
64, Alaska , Anchorage , Anchorage ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803379,Alaska,Anchorage,64.0
65, Ohio , Hamilton , Cincinnati ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789498,Ohio,Cincinnati,65.0
66, Nevada , Clark , Henderson ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784241,Nevada,Henderson,66.0
67, North Carolina , Guilford , Greensboro ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792016,North Carolina,Greensboro,67.0
68, Texas , Collin , Plano ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=787570,Texas,Plano,68.0
69, New Jersey , Essex , Newark ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802846,New Jersey,Newark,69.0
70, Ohio , Lucas , Toledo ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806418,Ohio,Toledo,70.0
71, Nebraska , Lancaster , Lincoln ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803380,Nebraska,Lincoln,71.0
72, Florida , Orange , Orlando ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=815613,Florida,Orlando,72.0
181, New Jersey , Hudson , Jersey City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=781577,New Jersey,Jersey City,74.0
182, Arizona , Maricopa , Chandler ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=747753,Arizona,Chandler,75.0
183, Indiana , Allen , Fort Wayne ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808191,Indiana,Fort Wayne,76.0
184, New York , Erie , Buffalo ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790352,New York,Buffalo,77.0
185, North Carolina , Durham , Durham ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808204,North Carolina,Durham,78.0
186, Florida , Pinellas , St. Petersburg ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790869,Florida,Saint Petersburg,79.0
187,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824138,California,Irvine,80.0
188, Texas , Lubbock , Lubbock ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=616988,Texas,Lubbock,82.0
189, Wisconsin , Dane , Madison ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800635,Wisconsin,Madison,83.0
190, Arizona , Maricopa , Gilbert ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539323,Arizona,Gilbert,84.0
191, Virginia , Norfolk , Norfolk ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821013,Virginia,Norfolk,85.0
192, Nevada , Washoe , Reno ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810286,Nevada,Reno,86.0
193, North Carolina , Forsyth , Winston-Salem ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792003,North Carolina,Winston–Salem,87.0
194, Arizona , Maricopa , Glendale ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=322357,Arizona,Glendale,88.0
195, Florida , Miami-Dade , Hialeah ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791794,Florida,Hialeah,89.0
196, Arizona , Maricopa , Scottsdale ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539331,Arizona,Scottsdale,91.0
197, Texas , Dallas , Irving ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=635717,Texas,Irving,92.0
198, Nevada , Clark , North Las Vegas ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=781478,Nevada,North Las Vegas,94.0
199, California , Alameda , Fremont ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=779826,California,Fremont,95.0
200,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821720,Louisiana,Baton Rouge,96.0
201, Virginia , Richmond City , Richmond City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=770401,Virginia,Richmond,97.0
202, Idaho , Ada , Boise ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810491,Idaho,Boise,98.0
203, Washington , Spokane , Spokane ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809421,Washington,Spokane,100.0
204, Alabama , Jefferson , Birmingham ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790853,Alabama,Birmingham,101.0
205, California , Stanislaus , Modesto ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=693276,California,Modesto,102.0
206, Iowa , Polk , Des Moines ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=807985,Iowa,Des Moines,103.0
207, New York , Monroe , Rochester ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790532,New York,Rochester,104.0
208, Washington , Pierce , Tacoma ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809420,Washington,Tacoma,105.0
209, California , Ventura , Oxnard ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=690596,California,Oxnard,107.0
210, New York , Westchester , Yonkers ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809214,New York,Yonkers,111.0
211, Illinois , Kane , Aurora ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786799,Illinois,Aurora,113.0
212, Alabama , Montgomery , Montgomery ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806406,Alabama,Montgomery,114.0
213, Arkansas , Pulaski , Little Rock ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824582,Arkansas,Little Rock,117.0
214, Ohio , Summit , Akron ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
215, Louisiana , Caddo , Shreveport ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806785,Louisiana,Shreveport,119.0
216, Maine , Kennebec , Augusta ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=49779,Georgia,Augusta,120.0
217, Michigan , Kent , Grand Rapids ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821502,Michigan,Grand Rapids,121.0
218, Alabama , Mobile , Mobile ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790852,Alabama,Mobile,122.0
219, Utah , Salt Lake , Salt Lake City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=805390,Utah,Salt Lake City,123.0
220, Alabama , Madison , Huntsville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=510737,Alabama,Huntsville,124.0
221, Florida , Leon , Tallahassee ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802879,Florida,Tallahassee,125.0
222, Kansas , Johnson , Overland Park ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784288,Kansas,Overland Park,127.0
223, Tennessee , Knox , Knoxville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813133,Tennessee,Knoxville,128.0
224, Massachusetts , Worcester , Worcester ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=816684,Massachusetts,Worcester,129.0
225, California , Los Angeles , Santa Clarita ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=620896,California,Santa Clarita,132.0
226, Rhode Island , Providence , Providence ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792841,Rhode Island,Providence,134.0
227, Florida , Broward , Fort Lauderdale ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821511,Florida,Fort Lauderdale,135.0
228, Tennessee , Hamilton , Chattanooga ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=765763,Tennessee,Chattanooga,136.0
229, Arizona , Maricopa , Tempe ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821739,Arizona,Tempe,137.0
230, California , San Diego , Oceanside ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=306197,California,Oceanside,138.0
231, California , Orange , Garden Grove ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823915,California,Garden Grove,139.0
232, Florida , Lee , Cape Coral ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=212789,Florida,Cape Coral,141.0
233, Washington , Clark , Vancouver ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=234211,Washington,Vancouver,143.0
234, South Dakota , Minnehaha , Sioux Falls ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=741369,South Dakota,Sioux Falls,144.0
235, Arizona , Maricopa , Peoria ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539332,Arizona,Peoria,145.0
236, Mississippi , Hinds , Jackson ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799020,Mississippi,Jackson,147.0
237, Missouri , Greene , Springfield ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809182,Missouri,Springfield,149.0
238, Florida , Broward , Pembroke Pines ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820842,Florida,Pembroke Pines,150.0
239,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=817959,Oregon,Salem,151.0
240,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=818312,Oregon,Eugene,153.0
241, North Carolina , Wake , Cary ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=390465,North Carolina,Cary,157.0
242, Massachusetts , Hampden , Springfield ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813330,Massachusetts,Springfield,162.0
243, Georgia , Bibb , Macon ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=731571,Georgia,Macon,164.0
244, Virginia , Alexandria , Alexandria ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806236,Virginia,Alexandria,165.0
245, Colorado , Jefferson , Lakewood ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819873,Colorado,Lakewood,167.0
246, Kansas , Wyandotte , Wyandotte ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784700,Kansas,Kansas City,170.0
247, Kansas , Wyandotte , Kansas City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=595544,Kansas,Kansas City,171.0
248, Florida , Broward , Hollywood ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=59526,Florida,Hollywood,172.0
249, Illinois , Winnebago , Rockford ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786820,Illinois,Rockford,175.0
250, Illinois , Will , Joliet ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799784,Illinois,Joliet,176.0
251, New Jersey , Passaic , Paterson ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=613570,New Jersey,Paterson,177.0
252, Connecticut , Fairfield , Bridgeport ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806920,Connecticut,Bridgeport,178.0
253, Illinois , DuPage , Naperville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799783,Illinois,Naperville,179.0
254, Georgia , Chatham , Savannah ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808201,Georgia,Savannah,180.0
255, New York , Onondaga , Syracuse ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790585,New York,Syracuse,182.0
256, Ohio , Montgomery , Dayton ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791538,Ohio,Dayton,187.0
257, Washington , King , Bellevue ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=281741,Washington,Bellevue,189.0
258, Florida , Broward , Miramar ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809454,Florida,Miramar,190.0
259, South Carolina , Richland , Columbia ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=643025,South Carolina,Columbia,195.0
260, South Carolina , Charleston , Charleston ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808198,South Carolina,Charleston,199.0
261, Iowa , Linn , Cedar Rapids ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=798607,Iowa,Cedar Rapids,203.0
262, Connecticut , New Haven , New Haven ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808208,Connecticut,New Haven,204.0
263, Minnesota , Ramsey , Roseville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=39309,California,Roseville,205.0
264, Florida , Alachua , Gainesville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=812044,Florida,Gainesville,206.0
265, New Jersey , Union , Elizabeth ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789591,New Jersey,Elizabeth,210.0
266, Connecticut , Fairfield , Stamford ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790970,Connecticut,Stamford,211.0
267, Arizona , Maricopa , Surprise ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539334,Arizona,Surprise,213.0
268, Kansas , Shawnee , Topeka ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=783319,Kansas,Topeka,215.0
269, Washington , King , Kent ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=280005,Washington,Kent,216.0
270, California , Santa Clara , Santa Clara ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825304,California,Santa Clara,218.0
271, Connecticut , Hartford , Hartford ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806918,Connecticut,Hartford,220.0
272, Georgia , Clarke , Clarke ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825388,Georgia,Athens,221.0
273, California , Alameda , Berkeley ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=773915,California,Berkeley,225.0
274, Oklahoma , Cleveland , Norman ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=580482,Oklahoma,Norman,226.0
275, Pennsylvania , Lehigh , Allentown ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786928,Pennsylvania,Allentown,227.0
276, Indiana , Vanderburgh , Evansville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808190,Indiana,Evansville,228.0
277, Missouri , Boone , Columbia ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806257,Missouri,Columbia,229.0
278, North Dakota , Cass , Fargo ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=691223,North Dakota,Fargo,231.0
279, Missouri , Jackson , Independence ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800387,Missouri,Independence,233.0
280, Michigan , Washtenaw , Ann Arbor ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809482,Michigan,Ann Arbor,234.0
281, Illinois , Sangamon , Springfield ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799779,Illinois,Springfield,236.0
282, Utah , Utah , Provo ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825019,Utah,Provo,240.0
283, Illinois , Peoria , Peoria ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786798,Illinois,Peoria,241.0
284, Michigan , Ingham , Lansing ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=626992,Michigan,Lansing,242.0
285, Florida , Pinellas , Clearwater ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820068,Florida,Clearwater,248.0
286, Illinois , Kane , Elgin ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799782,Illinois,Elgin,251.0
287, Utah , Salt Lake , West Jordan ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=228361,Utah,West Jordan,253.0
288, California , Los Angeles , Inglewood ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810267,California,Inglewood,254.0
289, Massachusetts , Middlesex , Lowell ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786658,Massachusetts,Lowell,256.0
290, Montana , Yellowstone , Billings ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=659560,Montana,Billings,261.0
291, New Hampshire , Hillsborough , Manchester ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808199,New Hampshire,Manchester,262.0
292, California , Contra Costa , Richmond ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824679,California,Richmond,265.0
293, Connecticut , New Haven , Waterbury ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808209,Connecticut,Waterbury,269.0
294, Washington , Snohomish , Everett ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=747391,Washington,Everett,272.0
295,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=263768,Florida,Palm Bay,274.0
296, Florida , Palm Beach , West Palm Beach ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821512,Florida,West Palm Beach,278.0
297, Georgia , Fulton , Sandy Springs ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=627964,Georgia,Sandy Springs,281.0
298, Wisconsin , Brown , Green Bay ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820848,Wisconsin,Green Bay,283.0
299, New Jersey , Middlesex , Edison Township ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789143,New Jersey,Edison,293.0
300, Iowa , Scott , Davenport ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806484,Iowa,Davenport,294.0
301, New Jersey , Middlesex , Woodbridge Township ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=277467,New Jersey,Woodbridge,296.0
302, New Mexico , Doa Ana , Las Cruces ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819440,New Mexico,Las Cruces,297.0
303, Indiana , St. Joseph , South Bend ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808195,Indiana,South Bend,298.0
304, Florida , Broward , Davie ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=516936,Florida,Davie,301.0
305, Washington , King , Renton ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=167734,Washington,Renton,304.0
306, Delaware , Kent , Dover ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=771406,Delaware,Dover,305.0
307, New Mexico , Santa Fe , Santa Fe ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825017, New Mexico,santa fe,306.0
308, Illinois , Lake , Long Grove ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=566064, illinois,long grove,307.0
309,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=693442, florida,fort pierce,308.0
310, Pennsylvania , Lancaster , Lancaster ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=526681, pennsylvania,lancaster,309.0
311, North Carolina , Orange , Chapel Hill ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=807941, north carolina,chapel hill,310.0
312, Florida , Miami-Dade , Coral Gables ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808597, florida,coral gables,311.0
313, New Hampshire , Merrimack , Concord ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810467,new hampshire,concord,312.0
314,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821270, delaware, wilmington,313.0
315, Florida , Miami-Dade , Miami Beach ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810545, florida,miami beach,314.0
316, California , Orange , Westminster ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=804628, california,westminster,315.0
317, Utah , Salt Lake , Sandy ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790213,utah,sandy,316.0
318, New Jersey , Mercer , Trenton ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=816563,new jersey,trenton,317.0
319, New York , Albany , Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
320, Pennsylvania , Erie , Erie ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786998,pennsylvania,erie,319.0
321, Pennsylvania , Dauphin , Harrisburg ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784478,pennsylvania,harrisburg,320.0
322, Pennsylvania , Berks , Reading ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810684,pennsylvania,reading,321.0
323, Maine , Androscoggin , Lewiston ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=749840,maine,lewiston,322.0
324, Maine , Cumberland , Portland ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809869,maine,portland,323.0
325, New Hampshire , Hillsborough , Nashua ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810468,nonpartisan,"nashua,new hampshire",324.0
326,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823590,rhode island,cranston,325.0
327,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823800,rhode island,pawtucket,326.0
328, Rhode Island , Kent , Warwick ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823591,rhode island,warwick,327.0
